type_annonce,nombre_pieces,prix (F CFA),Adresse,Image Link
Location,6,1.800.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5181606_uploaded_image1_1739314084.jpg
Vente,5,330.000.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166100_uploaded_image1_1738535125.jpg
Vente,8,90.000.000,"Lac rose, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195878_uploaded_image1_1740090426.jpg
Location,Non spécifié,800.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195877_uploaded_image1_1740090237.jpg
Vente,150,75.000.000,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195784_uploaded_image1_1740086296.jpg
Vente,6,150.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5151732_uploaded_image1_1737744063.jpg
Vente,10,250.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195624_uploaded_image1_1740078915.jpg
Location,4,600.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195621_uploaded_image1_1740078754.jpg
Location,14,1.500.000,"Sacré-Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195312_uploaded_image1_1740068058.jpg
Vente,5,259.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195284_uploaded_image1_1740066719.jpg
Location,3,375.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195272_uploaded_image1_1740066494.jpg
Vente,5,135.000.000,"HLM, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194960_uploaded_image1_1740055220.jpg
Vente,8,130.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194923_uploaded_image1_1740054261.jpg
Location,5,500.000,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194895_uploaded_image1_1740053632.jpg
Location,6,750.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194764_uploaded_image1_1740050158.jpg
Location,10,3.000.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5179772_uploaded_image1_1739222303.jpg
Vente,3,Prix.sur.demande,"Ngaparou, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194252_uploaded_image1_1740013680.jpg
Vente,5,450.000.000,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194097_uploaded_image1_1740004942.jpg
Vente,6,Prix.sur.demande,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194088_uploaded_image1_1740004615.jpg
Location,9,1.500.000,"Sicap foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5150235_uploaded_image1_1737665430.jpg
Vente,7,160.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193721_uploaded_image1_1739989208.jpg
Vente,70,Prix.sur.demande,"Ziguinchor, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193561_uploaded_image1_1739984206.jpg
Location,4,250.000,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193464_uploaded_image1_1739981886.jpg
Vente,15,200.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5144168_uploaded_image1_1737393431.jpg
Location,10,1.500.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5149288_uploaded_image1_1737634014.jpg
Location,4,500.000,"Biscuiterie, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192577_uploaded_image1_1739949022.jpg
Vente,8,350.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5148341_uploaded_image1_1737579149.jpg
Vente,5,77.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192212_uploaded_image1_1739913198.jpg
Vente,7,Prix.sur.demande,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5142562_uploaded_image1_1737306301.jpg
Vente,3,63.000.000,"Mboro, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189868_uploaded_image1_1739807005.jpg
Location,8,3.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5145098_uploaded_image1_1737449642.jpg
Vente,5,300.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5179400_uploaded_image1_1739207149.jpg
Vente,15,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193614_uploaded_image1_1739985708.jpg
Location,5,1.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198484_uploaded_image1_1740245265.jpg
Vente,5,40.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188400_uploaded_image1_1739722502.jpg
Vente,3,11.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188396_uploaded_image1_1739722175.jpg
Vente,5,50.000.000,"Fatick, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5167947_uploaded_image1_1738616626.jpg
Location,6,650.000,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5184382_uploaded_image1_1739460128.jpg
Vente,6,170.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188375_uploaded_image1_1739721159.jpg
Location,9,800.000,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5151976_uploaded_image1_1737759053.jpg
Location,6,1.600.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196702_uploaded_image1_1740148427.jpg
Location,7,2.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5184268_uploaded_image1_1739455865.jpg
Vente,Non spécifié,125.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5157253_uploaded_image1_1738071962.jpg
Vente,5,250.000.000,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5174933_uploaded_image1_1738935517.jpg
Location,Non spécifié,300.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198223_uploaded_image1_1740232509.jpg
Vente,8,18.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170215_uploaded_image1_1738700979.jpg
Vente,10,65.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5156812_uploaded_image1_1738058864.jpg
Vente,20,99.000.000,"Toubab Dialao, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5159005_uploaded_image1_1738154903.jpg
Vente,10,95.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5153155_uploaded_image1_1737836922.jpg
Location,5,900.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187005_uploaded_image1_1739622672.jpg
Location,Non spécifié,1.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169072_uploaded_image1_1738666505.jpg
